envelope_ID,day,month,year,siteID,species,new_taxon,project,habitat,plotNR,DURIN_plot,ageClass,DroughtTrt,DroughNet_plotID,plant_nr,leaf_nr,leaf_age,plant_height,bulk_nr_leaves,wet_mass_g,leaf_thickness_1_mm,leaf_thickness_2_mm,leaf_thickness_3_mm,dry_mass_g,stomatal_conductance(gs),spectrometry,remark,remarks_2,cutout_barcode
AAI4625,14,June,2023,Lygra,Vaccinium myrtillus,,Field - Traits,,,,Pioneer,Amb (0),2.2,3,3,young,8.6,,0.0058,0.102,0.100,0.104,,,,,,
AAG7488,14,June,2023,Lygra,Vaccinium myrtillus,,Field - Traits,,,,Pioneer,Amb (0),2.2,3,2,young,8.6,,0.0052,0.106,0.101,0.108,,,,,,
AAH0856,14,June,2023,Lygra,Vaccinium myrtillus,,Field - Traits,,,,Pioneer,Amb (0),2.2,3,1,young,8.6,,0.0049,0.107,0.108,0.100,,,,,,
AGU3651,14,June,2023,Lygra,Vaccinium myrtillus,,Field - Traits,,,,Pioneer,Amb (0),2.2,2,1,young,11.7,,0.0129,0.122,0.118,0.138,,,,,,
AHD4843,14,June,2023,Lygra,Vaccinium vitis-idaea,,Field - Traits,,,,Pioneer,Amb (0),2.2,2,,old,13.6,,0.0397,0.339,0.323,0.334,,,,,,
AHC6687,14,June,2023,Lygra,Vaccinium vitis-idaea,,Field - Traits,,,,Pioneer,Amb (0),2.2,2,,old,13.6,,0.0474,0.316,0.339,0.348,,,,,,
AAF2125,14,June,2023,Lygra,Vaccinium vitis-idaea,,Field - Traits,,,,Pioneer,Amb (0),2.2,3,3,old,18.1,,0.0514,0.356,0.348,0.363,,,,,,
AEA5875,14,June,2023,Lygra,Empetrum nigrum,,Field - Traits,,,,Pioneer,Ext (90),2.1,3,3,young,19.4,5,0.0078,0.2130,0.241,0.225,,,,,,
AKJ2916,15,June,2023,Lygra,Vaccinium myrtillus,,Field - Traits,,,,Pioneer,Amb (0),3.1,1,2,young,16.0,,0.0193,0.430,0.430,0.429,,,,,,
AGX3707,15,June,2023,Lygra,Vaccinium vitis-idaea,,Field - Traits,,,,Mature,Amb (0),8.3,2,1,young,13.2,,0.0499,0.437,0.281,0.433,,,,,,
AKB0586,15,June,2023,Lygra,Empetrum nigrum,,Field - Traits,,,,Pioneer,Amb (0),3.1,1,2,old,25.5,5,0.0156,0.255,0.269,0.325,,,,,,
AJX0667,15,June,2023,Lygra,Empetrum nigrum,,Field - Traits,,,,Pioneer,Amb (0),3.1,1,3,old,25.5,5,0.0171,0.306,0.307,0.336,,,,,,
AJI1157,15,June,2023,Lygra,Vaccinium myrtillus,,Field - Traits,,,,Pioneer,Amb (0),3.1,3,2,young,13.1,,0.0089,0.087,0.095,0.102,,,,,,
AJP0604,15,June,2023,Lygra,Empetrum nigrum,,Field - Traits,,,,Pioneer,Amb (0),3.1,1,2,young,25.5,5,0.0094,0.224,0.242,0.273,,,,,,
AKZ1297,15,June,2023,Lygra,Vaccinium myrtillus,,Field - Traits,,,,Pioneer,Amb (0),3.1,3,1,young,13.1,,0.0102,0.095,0.101,0.100,,,,,,
AGK1954,15,June,2023,Lygra,Vaccinium myrtillus,,Field - Traits,,,,Pioneer,Amb (0),3.1,3,3,young,13.1,,0.0085,0.096,0.113,0.103,,,,,,
AFO8127,15,June,2023,Lygra,Vaccinium vitis-idaea,,Field - Traits,,,,Pioneer,Amb (0),3.1,2,3,young,12.0,,0.0142,0.170,0.182,0.193,,,,,,
AAA8202,15,June,2023,Lygra,Vaccinium vitis-idaea,,Field - Traits,,,,Pioneer,Amb (0),3.1,2,1,young,12.0,,0.0165,0.216,0.216,0.239,,,,,,
AIM2992,15,June,2023,Lygra,Vaccinium vitis-idaea,,Field - Traits,,,,Pioneer,Amb (0),3.1,2,2,young,12.0,,0.0154,0.183,0.193,0.184,,,,,,
AIN1819,15,June,2023,Lygra,Vaccinium vitis-idaea,,Field - Traits,,,,Pioneer,Amb (0),3.1,3,2,old,10.1,,0.0556,0.356,0.376,0.382,,,,,,
AFV1145,14,June,2023,Lygra,Vaccinium myrtillus,,Field - Traits,,,,Pioneer,Amb (0),2.2,1,2,young,8.9,,0.0070,0.105,0.108,0.108,,,,,,
AFT3977,14,June,2023,Lygra,Vaccinium myrtillus,,Field - Traits,,,,Pioneer,Amb (0),2.2,1,3,young,8.9,,0.0097,0.110,0.099,0.105,,,,,,
AFU8153,14,June,2023,Lygra,Vaccinium myrtillus,,Field - Traits,,,,Pioneer,Amb (0),2.2,1,1,young,8.9,,0.0090,0.115,0.110,0.110,,,,,,
AEG7270,14,June,2023,Lygra,Vaccinium vitis-idaea,,Field - Traits,,,,Pioneer,Amb (0),2.1,2,1,old,14.0,,0.0712,0.387,0.410,0.390,,,,,,
ADV1795,14,June,2023,Lygra,Vaccinium myrtillus,,Field - Traits,,,,Pioneer,Ext (90),2.1,2,3,young,15.0,,0.0192,0.147,0.145,0.132,,,,,,
ADU3536,14,June,2023,Lygra,Vaccinium myrtillus,,Field - Traits,,,,Pioneer,Ext (90),2.1,2,2,young,15.0,,0.0222,0.146,0.144,0.153,,,,,,
ADT3006,14,June,2023,Lygra,Vaccinium myrtillus,,Field - Traits,,,,Pioneer,Ext (90),2.1,2,1,young,15.0,,0.0072,0.190,0.105,0.099,,,,,,
AGG6706,14,June,2023,Lygra,Vaccinium vitis-idaea,,Field - Traits,,,,Pioneer,Ext (90),2.1,1,2,old,19.0,,0.0698,0.434,0.362,0.350,,,,,,
AGV6048,14,June,2023,Lygra,Vaccinium myrtillus,,Field - Traits,,,,Pioneer,Amb (0),2.2,2,2,young,11.7,,0.0113,0.126,0.119,0.115,,,,,,
AEY4863,14,June,2023,Lygra,Vaccinium myrtillus,,Field - Traits,,,,Pioneer,Amb (0),2.2,2,3,young,11.7,,0.0078,0.116,0.119,0.115,,,,,,
AFD8259,14,June,2023,Lygra,Vaccinium vitis-idaea,,Field - Traits,,,,Pioneer,Amb (0),2.2,3,2,young,18.1,,0.0302,0.258,0.272,0.272,,,,,,
AAS5616,14,June,2023,Lygra,Vaccinium myrtillus,,Field - Traits,,,,Pioneer,Ext (90),2.1,1,1,young,12.5,,0.0197,0.147,0.146,0.149,,,,,,
AFC3972,14,June,2023,Lygra,Vaccinium vitis-idaea,,Field - Traits,,,,Pioneer,Amb (0),2.2,3,1,young,18.1,,0.0276,0.246,0.247,0.231,,,,,,
AFG4870,14,June,2023,Lygra,Vaccinium vitis-idaea,,Field - Traits,,,,Pioneer,Amb (0),2.2,3,2,old,18.1,,0.0515,0.366,0.370,0.356,,,,,,
AAD6962,14,June,2023,Lygra,Empetrum nigrum,,Field - Traits,,,,Pioneer,Amb (0),1.1,1,3,old,14.3,5,0.0104,0.284,0.209,0.270,,,,,,
ABA3101,14,June,2023,Lygra,Empetrum nigrum,,Field - Traits,,,,Pioneer,Amb (0),1.1,1,2,old,14.3,5,0.0112,0.271,0.208,0.261,,,,,,
AFQ3366,15,June,2023,Lygra,Vaccinium vitis-idaea,,Field - Traits,,,,Pioneer,Amb (0),3.1,2,2,old,12.0,,0.0462,0.360,0.347,0.350,,,,,,
AEB1317,14,June,2023,Lygra,Empetrum nigrum,,Field - Traits,,,,Pioneer,Ext (90),2.1,3,1,young,19.4,5,0.0066,0.077,0.130,0.191,,,,,,
ABX4113,14,June,2023,Lygra,Empetrum nigrum,,Field - Traits,,,,Pioneer,Ext (90),2.1,2,1,old,20.0,5,0.0124,0.194,0.216,0.128,,,,,,
AEO3216,14,June,2023,Lygra,Empetrum nigrum,,Field - Traits,,,,Pioneer,Amb (0),1.1,1,1,young,14.3,5,0.0049,0.109,0.099,0.163,,,,,,
AEQ4637,14,June,2023,Lygra,Empetrum nigrum,,Field - Traits,,,,Pioneer,Amb (0),1.1,1,3,young,14.3,5,0.0066,0.118,0.096,0.149,,,,,,
AEP4407,14,June,2023,Lygra,Empetrum nigrum,,Field - Traits,,,,Pioneer,Amb (0),1.1,1,2,young,14.3,5,0.0070,0.137,0.178,0.180,,,,,,
AAE0535,14,June,2023,Lygra,Empetrum nigrum,,Field - Traits,,,,Pioneer,Amb (0),1.1,1,1,old,14.3,5,0.0104,0.252,0.288,0.240,,,,,,
AER7658,14,June,2023,Lygra,Empetrum nigrum,,Field - Traits,,,,Pioneer,Amb (0),2.2,1,1,old,23.0,5,0.0117,0.285,0.259,0.203,,,,,,
AGB7982,14,June,2023,Lygra,Empetrum nigrum,,Field - Traits,,,,Pioneer,Amb (0),2.2,1,1,young,23.0,5,0.0052,0.114,0.125,0.085,,,,,,
AGD1689,14,June,2023,Lygra,Empetrum nigrum,,Field - Traits,,,,Pioneer,Amb (0),2.2,1,3,young,23.0,5,0.0043,0.094,0.115,0.129,,,,,,
ADZ3025,14,June,2023,Lygra,Empetrum nigrum,,Field - Traits,,,,Pioneer,Ext (90),2.1,3,2,young,19.4,5,0.0070,0.214,0.228,0.228,,,,,,
AEE6482,14,June,2023,Lygra,Empetrum nigrum,,Field - Traits,,,,Pioneer,Ext (90),2.1,3,1,old,19.4,6,0.0083,0.211,0.159,0.225,,,,,,
AED7486,14,June,2023,Lygra,Empetrum nigrum,,Field - Traits,,,,Pioneer,Ext (90),2.1,3,2,old,19.4,5,0.0089,0.213,0.220,0.206,,,,,,
AEX2606,14,June,2023,Lygra,Empetrum nigrum,,Field - Traits,,,,Pioneer,Amb (0),2.2,2,3,old,17.6,5,0.0103,0.240,0.215,0.245,,,,,,
AGH1065,14,June,2023,Lygra,Empetrum nigrum,,Field - Traits,,,,Pioneer,Amb (0),2.2,1,2,old,23.0,5,0.0123,0.270,0.228,0.237,,,,,,
AGE0214,14,June,2023,Lygra,Empetrum nigrum,,Field - Traits,,,,Pioneer,Amb (0),2.2,1,3,old,23.0,5,0.0118,0.250,0.212,0.247,,,,,,
AHH2302,14,June,2023,Lygra,Empetrum nigrum,,Field - Traits,,,,Pioneer,Amb (0),2.2,2,2,old,17.6,5,0.0099,0.215,0.170,0.182,,,,,,
AKL8684,16,June,2023,Lygra,Vaccinium myrtillus,,Lab - Physiology,,,,Pioneer,Amb (0),0.0,1,3,young,,,0.0154,0.127,0.129,0.133,,,,,,
ASB5370,16,June,2023,Lygra,Vaccinium myrtillus,,Lab - Physiology,,,,Pioneer,Amb (0),0.0,1,1,young,,,0.0135,0.118,0.128,0.124,,,,,,
ARX3812,16,June,2023,Lygra,Vaccinium myrtillus,,Lab - Physiology,,,,Pioneer,Amb (0),0.0,1,2,young,,,0.0137,0.127,0.115,0.130,,,,,,
AKH6068,16,June,2023,Lygra,Vaccinium myrtillus,,Lab - Physiology,,,,Pioneer,Amb (0),0.0,1,0,young,,6,0.0600,0.136,0.130,0.120,,,,,,AWQ6780
AEM0796,14,June,2023,Lygra,Vaccinium myrtillus,,Field - Traits,,,,Pioneer,Amb (0),1.1,1,2,young,9.7,,0.0059,0.109,0.103,0.094,,,,,,
AEN6114,14,June,2023,Lygra,Vaccinium myrtillus,,Field - Traits,,,,Pioneer,Amb (0),1.1,1,3,young,9.7,,0.0075,0.098,0.105,0.098,,,,,,
ADW3051,14,June,2023,Lygra,Vaccinium vitis-idaea,,Field - Traits,,,,Pioneer,Amb (0),1.1,1,1,young,6.2,,0.2470,0.265,0.276,,,,,,,
AFH1727,14,June,2023,Lygra,Vaccinium vitis-idaea,,Field - Traits,,,,Pioneer,Amb (0),1.1,1,3,old,6.2,,0.4110,0.410,0.397,,,,,,,
ACS5787,14,June,2023,Lygra,Vaccinium myrtillus,,Field - Traits,,,,Pioneer,Amb (0),1.1,3,1,young,12.4,,0.0103,0.102,0.112,0.102,,,,,,
AAR5621,14,June,2023,Lygra,Vaccinium myrtillus,,Field - Traits,,,,Pioneer,Ext (90),2.1,1,2,young,12.5,,0.0243,0.160,0.151,0.153,,,,,,
ADY2406,14,June,2023,Lygra,Vaccinium vitis-idaea,,Field - Traits,,,,Pioneer,Amb (0),1.1,1,2,young,6.2,,0.0190,0.249,0.264,0.249,,,,,,
ADX7023,14,June,2023,Lygra,Vaccinium vitis-idaea,,Field - Traits,,,,Pioneer,Amb (0),1.1,1,3,young,6.2,,0.0136,0.198,0.225,0.213,,,,,,
ACU2148,14,June,2023,Lygra,Vaccinium myrtillus,,Field - Traits,,,,Pioneer,Amb (0),1.1,1,1,young,9.7,,0.0072,0.102,0.108,0.091,,,,,,
AGY1434,15,June,2023,Lygra,Vaccinium vitis-idaea,,Field - Traits,,,,Mature,Amb (0),8.3,1,1,young,9.5,,0.0136,0.176,0.187,0.194,,,,,,
AGT6887,15,June,2023,Lygra,Empetrum nigrum,,Field - Traits,,,,Pioneer,Amb (0),3.1,3,1,old,24.3,5,0.0124,0.294,0.190,0.225,,,,,,
AHV0304,15,June,2023,Lygra,Empetrum nigrum,,Field - Traits,,,,Pioneer,Amb (0),3.1,3,3,young,24.3,5,0.0078,0.166,0.147,0.215,,,,,,
AHW4200,15,June,2023,Lygra,Empetrum nigrum,,Field - Traits,,,,Pioneer,Amb (0),3.1,3,1,old,24.3,5,0.0110,0.237,0.244,0.245,,,,,,
AGS5261,15,June,2023,Lygra,Empetrum nigrum,,Field - Traits,,,,Pioneer,Amb (0),3.1,3,2,old,24.3,5,0.0117,0.217,0.270,0.199,,,,,,
AIU3433,15,June,2023,Lygra,Calluna vulgaris,,Field - Traits,,,,Pioneer,Amb (0),3.1,3,3,young,28.8,5,0.0045,0.105,0.116,0.100,,,,,,
AHU7932,15,June,2023,Lygra,Empetrum nigrum,,Field - Traits,,,,Pioneer,Amb (0),3.1,3,2,young,24.3,4,0.0058,0.170,0.174,0.132,,,,,,
AKE1045,15,June,2023,Lygra,Empetrum nigrum,,Field - Traits,,,,Pioneer,Ext (90),3.3,2,1,old,23.2,,0.0142,0.247,0.272,0.311,,,,,,
AME3384,15,June,2023,Lygra,Empetrum nigrum,,Field - Traits,,,,Pioneer,Ext (90),3.3,2,3,old,23.2,5,0.0187,0.345,0.342,0.328,,,,,,
AMI6524,15,June,2023,Lygra,Empetrum nigrum,,Field - Traits,,,,Pioneer,Ext (90),3.3,3,3,old,13.2,4,0.0103,0.290,0.263,0.246,,,,,,
ADF5281,15,June,2023,Lygra,Empetrum nigrum,,Field - Traits,,,,Pioneer,Ext (90),1.2,2,1,young,13.2,5,0.0051,0.245,0.196,0.177,,,,,,
AKV3067,15,June,2023,Lygra,Calluna vulgaris,,Field - Traits,,,,Pioneer,Amb (0),3.1,2,1,young,24.5,5,0.0027,0.072,0.106,0.103,,,,,,
AJL1869,15,June,2023,Lygra,Empetrum nigrum,,Field - Traits,,,,Pioneer,Amb (0),3.1,2,3,old,24.0,,0.0126,0.277,0.270,0.238,,,,,,
AKI6510,15,June,2023,Lygra,Calluna vulgaris,,Field - Traits,,,,Pioneer,Amb (0),3.1,3,2,young,28.8,5,0.0040,0.096,0.128,0.056,,,,,,
